Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G
Am Am Am Am | Em Em Em Em | F F F F | G G G G | C C C C | Dm Dm Dm Dm | Em Em Em Em | Am Am Am Am
C C C C | G G G G | Em Em Em Em | Am Am Am Am | C C C C | G G G G | F F F F | C C C C
Am Am Am Am | Dm Dm Dm Dm | G7 G7 G7 G7 | C C C C | Am Am Am Am | Dm Dm Dm Dm | E E E E | G G G G
C C C C | Em Em Em Em | F F F F | G7 G7 G7 G7 | Am Am Am Am | F F F F | Csus2 Csus2 Csus2 Csus2 | G G G G
F F F F | Em Em Em Em | Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am | Bdim Bdim Bdim Bdim | C C C C
Am Am Am Am | F6 F6 F6 F6 | C C C C | G G7 G7 G7 | Am Am Am Am | F6 F6 F6 F6 | C C C C | Gsus2 Gsus2 Gsus2 Gsus2
C C C C | G G G G | Am Am Am Am | Em Em Em Em | F F F F | G7 G7 G7 G7 | Am Am Am Am | Dm Dm Dm Dm
Am Am Am Am | Dm Dm Dm Dm | Em Em Em Em | F F F F | G G G G | C C C C | Am7 Am7 Am7 Am7 | Dm7 Dm7 Dm7 Dm7
Dm Dm Dm Dm | Am Am Am Am | Em Em Em Em | F F F F | G G G G | Bdim Bdim Bdim Bdim | C C C C | G G G G
C C C C | Em Em Em Em | Am Am Am Am | Dm Dm Dm Dm | G7 G7 G7 G7 | C C C C | F F F F | G G G G
Am Am Am Am | Em Em Em Em | F F F F | G G G G | Am6 Am6 Am6 Am6 | Dm Dm Dm Dm | G7 G7 G7 G7 | E E E E
C C C C | G G G G | Am Am Am Am | F F F F | Csus2 Csus2 Csus2 Csus2 | Gsus2 Gsus2 Gsus2 Gsus2 | Em Em Em Em | Am Am Am Am
Am Am Am Am | F F F F | Dm Dm Dm Dm | Em Em Em Em | F F F F | G G G G | C C C C | Am Am Am Am
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | Dm Dm Dm Dm | G G G G | E E E E
Am Am Am E  | F F F F | Dm Dm Dm Dm | G G G G | Am Am Am E  | F F F F | C C C C | G G Esus E
C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F
Am Am Am Am | Em Em Em Em | F F F F | G G G G | Dm Dm Dm Dm | Am Am Am Am | C C C C | G G G G
F F F F | G G G G | Em Em Em Em | Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C | E E E E
Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am
C C C C | G7 G7 G7 G7 | Am Am Am Am | Dm Dm Dm Dm | F F F F | G G G G | Em Em Em Em | C C C C
Am Am Am Am | Em Em Em Em | Dm Dm Dm Dm | F F F F | C C C C | G G G G | Am Am Am Am | E E E E
C C C C | Em Em Em Em | Am Am Am Am | Dm Dm Dm Dm | G7 G7 G7 G7 | C C C C | F F F F | G G G G
Am Am Am Am | F F F F | C C C C | G G G G | Am7 Am7 Am7 Am7 | Dm7 Dm7 Dm7 Dm7 | Em7 Em7 Em7 Em7 | F F F F
Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am | F6 F6 F6 F6 | G6 G6 G6 G6 | Em6 Em6 Em6 Em6 | Am6 Am6 Am6 Am6
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | F F F F | Csus2 Csus2 Csus2 Csus2 | Gsus2 Gsus2 Gsus2 Gsus2
Am Am Am Am | Dm Dm Dm Dm | G7 G7 G7 G7 | C C C C | Am Am Am Am | Dm Dm Dm Dm | E E E E | Am Am Am Am
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | F F F F | Csus2 Csus2 Csus2 Csus2 | G G G G
F F F F | G G G G | Em Em Em Em | Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C | Bdim Bdim Bdim Bdim
Am Am Am Am | Em Em Em Em | F F F F | G G G G | Csus2 Csus2 Csus2 Csus2 | Gsus2 Gsus2 Gsus2 Gsus2 | Am Am Am Am | F F F F
C C C C | G G G G | Am Am Am Am | Em Em Em Em | Dm Dm Dm Dm | G G G G | C C C C | E E E E
Am Am Am Am | F F F F | Dm Dm Dm Dm | G G G G | Am Am Am Am | Em Em Em Em | F F F F | G7 G7 G7 G7
Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am | F6 F6 F6 F6 | G6 G6 G6 G6 | Em6 Em6 Em6 Em6 | Am6 Am6 Am6 Am6
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | Dm Dm Dm Dm | Em Em Em Em | F F F F
Am Am Am Am | Dm Dm Dm Dm | G7 G7 G7 G7 | C C C C | Am Am Am Am | Dm Dm Dm Dm | E E E E | Am Am Am Am
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | F F F F | Csus2 Csus2 Csus2 Csus2 | G G G G
F F F F | G G G G | Em Em Em Em | Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C | Bdim Bdim Bdim Bdim
Am Am Am Am | F6 F6 F6 F6 | C C C C | G G7 G7 G7 | Am Am Am Am | F6 F6 F6 F6 | C C C C | Gsus2 Gsus2 Gsus2 Gsus2
C C C C | G G G G | Am Am Am Am | Em Em Em Em | F F F F | G7 G7 G7 G7 | Am Am Am Am | Dm Dm Dm Dm
Am Am Am Am | Dm Dm Dm Dm | Em Em Em Em | F F F F | G G G G | C C C C | Am7 Am7 Am7 Am7 | Dm7 Dm7 Dm7 Dm7
Dm Dm Dm Dm | Am Am Am Am | Em Em Em Em | F F F F | G G G G | Bdim Bdim Bdim Bdim | C C C C | G G G G
C C C C | Em Em Em Em | Am Am Am Am | Dm Dm Dm Dm | G7 G7 G7 G7 | C C C C | F F F F | G G G G
Am Am Am Am | Em Em Em Em | F F F F | G G G G | Am6 Am6 Am6 Am6 | Dm Dm Dm Dm | G7 G7 G7 G7 | E E E E
C C C C | G G G G | Am Am Am Am | F F F F | Csus2 Csus2 Csus2 Csus2 | Gsus2 Gsus2 Gsus2 Gsus2 | Em Em Em Em | Am Am Am Am
Am Am Am Am | F F F F | Dm Dm Dm Dm | Em Em Em Em | F F F F | G G G G | C C C C | Am Am Am Am
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | Dm Dm Dm Dm | G G G G | E E E E
Am Am Am E  | F F F F | Dm Dm Dm Dm | G G G G | Am Am Am E  | F F F F | C C C C | G G Esus E
C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C
Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C | Dm Dm Dm Dm | G G G G | Bdim Bdim Bdim Bdim | C C C C
Am Am Am Am | F F F F | Em Em Em Em | G G G G | Am Am Am Am | F F F F | C C C C | E E E E
F F F F | G G G G | Em Em Em Em | Am Am Am Am | F F F F | G G G G | C C C C | G G G G
Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am | Dm Dm Dm Dm | G G G G | Em Em Em Em | F F F F
Am Am Am Am | Dm Dm Dm Dm | G7 G7 G7 G7 | C C C C | Am Am Am Am | Dm Dm Dm Dm | E E E E | G G G G
C C C C | Em Em Em Em | F F F F | G7 G7 G7 G7 | Am Am Am Am | F F F F | Csus2 Csus2 Csus2 Csus2 | G G G G
F F F F | Em Em Em Em | Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am | Bdim Bdim Bdim Bdim | C C C C
Am Am Am Am | F6 F6 F6 F6 | C C C C | G G7 G7 G7 | Am Am Am Am | F6 F6 F6 F6 | C C C C | Gsus2 Gsus2 Gsus2 Gsus2
C C C C | G G G G | Am Am Am Am | Em Em Em Em | F F F F | G7 G7 G7 G7 | Am Am Am Am | Dm Dm Dm Dm
Am Am Am Am | Dm Dm Dm Dm | Em Em Em Em | F F F F | G G G G | C C C C | Am7 Am7 Am7 Am7 | Dm7 Dm7 Dm7 Dm7
Dm Dm Dm Dm | Am Am Am Am | Em Em Em Em | F F F F | G G G G | Bdim Bdim Bdim Bdim | C C C C | G G G G
C C C C | Em Em Em Em | Am Am Am Am | Dm Dm Dm Dm | G7 G7 G7 G7 | C C C C | F F F F | G G G G
Am Am Am Am | Em Em Em Em | F F F F | G G G G | Am6 Am6 Am6 Am6 | Dm Dm Dm Dm | G7 G7 G7 G7 | E E E E
C C C C | G G G G | Am Am Am Am | F F F F | Csus2 Csus2 Csus2 Csus2 | Gsus2 Gsus2 Gsus2 Gsus2 | Em Em Em Em | Am Am Am Am
Am Am Am Am | F F F F | Dm Dm Dm Dm | Em Em Em Em | F F F F | G G G G | C C C C | Am Am Am Am
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | Dm Dm Dm Dm | G G G G | E E E E
Am Am Am E  | F F F F | Dm Dm Dm Dm | G G G G | Am Am Am E  | F F F F | C C C C | G G Esus E
C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C
Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C | Dm Dm Dm Dm | G G G G | Bdim Bdim Bdim Bdim | C C C C
Am Am Am Am | F F F F | Em Em Em Em | G G G G | Am Am Am Am | F F F F | C C C C | E E E E
F F F F | G G G G | Em Em Em Em | Am Am Am Am | F F F F | G G G G | C C C C | G G G G
Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am | Dm Dm Dm Dm | G G G G | Em Em Em Em | F F F F
Am Am Am Am | Em Em Em Em | F F F F | G G G G | C C C C | Dm Dm Dm Dm | Em Em Em Em | Am Am Am Am
C C C C | G G G G | Em Em Em Em | Am Am Am Am | C C C C | G G G G | F F F F | C C C C
Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G
Am Am Am E  | F F F F | C C C C | G G Esus E | Am Am Am E  | F F F F | C C C C | G G Esus E
C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C
Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C | Dm Dm Dm Dm | G G G G | Bdim Bdim Bdim Bdim | C C C C
Am Am Am Am | F F F F | Em Em Em Em | G G G G | Am Am Am Am | F F F F | C C C C | E E E E
F F F F | G G G G | Em Em Em Em | Am Am Am Am | F F F F | G G G G | C C C C | G G G G
Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am | Dm Dm Dm Dm | G G G G | Em Em Em Em | F F F F
Am Am Am Am | Em Em Em Em | F F F F | G G G G | C C C C | Dm Dm Dm Dm | Em Em Em Em | Am Am Am Am
C C C C | G G G G | Em Em Em Em | Am Am Am Am | C C C C | G G G G | F F F F | C C C C
Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G
Am Am Am E  | F F F F | C C C C | G G Esus E | Am Am Am E  | F F F F | C C C C | G G Esus E
C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C
Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C | Dm Dm Dm Dm | G G G G | Bdim Bdim Bdim Bdim | C C C C
Am Am Am Am | F F F F | Em Em Em Em | G G G G | Am Am Am Am | F F F F | C C C C | E E E E
F F F F | G G G G | Em Em Em Em | Am Am Am Am | F F F F | G G G G | C C C C | G G G G
Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am | Dm Dm Dm Dm | G G G G | Em Em Em Em | F F F F
Am Am Am Am | Em Em Em Em | F F F F | G G G G | C C C C | Dm Dm Dm Dm | Em Em Em Em | Am Am Am Am
C C C C | G G G G | Em Em Em Em | Am Am Am Am | C C C C | G G G G | F F F F | C C C C
Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G
Am Am Am E  | F F F F | C C C C | G G Esus E | Am Am Am E  | F F F F | C C C C | G G Esus E
C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C
Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C | Dm Dm Dm Dm | G G G G | Bdim Bdim Bdim Bdim | C C C C
Am Am Am Am | F F F F | Em Em Em Em | G G G G | Am Am Am Am | F F F F | C C C C | E E E E
F F F F | G G G G | Em Em Em Em | Am Am Am Am | F F F F | G G G G | C C C C | G G G G
Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am | Dm Dm Dm Dm | G G G G | Em Em Em Em | F F F F
Am Am Am Am | Em Em Em Em | F F F F | G G G G | C C C C | Dm Dm Dm Dm | Em Em Em Em | Am Am Am Am
C C C C | G G G G | Em Em Em Em | Am Am Am Am | C C C C | G G G G | F F F F | C C C C
Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G
Am Am Am E  | F F F F | C C C C | G G Esus E | Am Am Am E  | F F F F | C C C C | G G Esus E
C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C
Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C | Dm Dm Dm Dm | G G G G | Bdim Bdim Bdim Bdim | C C C C
Am Am Am Am | F F F F | Em Em Em Em | G G G G | Am Am Am Am | F F F F | C C C C | E E E E
F F F F | G G G G | Em Em Em Em | Am Am Am Am | F F F F | G G G G | C C C C | G G G G
Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am | Dm Dm Dm Dm | G G G G | Em Em Em Em | F F F F
Am Am Am Am | Em Em Em Em | F F F F | G G G G | C C C C | Dm Dm Dm Dm | Em Em Em Em | Am Am Am Am
C C C C | G G G G | Em Em Em Em | Am Am Am Am | C C C C | G G G G | F F F F | C C C C
Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G
Am Am Am E  | F F F F | C C C C | G G Esus E | Am Am Am E  | F F F F | C C C C | G G Esus E
C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C
Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C | Dm Dm Dm Dm | G G G G | Bdim Bdim Bdim Bdim | C C C C
Am Am Am Am | F F F F | Em Em Em Em | G G G G | Am Am Am Am | F F F F | C C C C | E E E E
F F F F | G G G G | Em Em Em Em | Am Am Am Am | F F F F | G G G G | C C C C | G G G G
Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am | Dm Dm Dm Dm | G G G G | Em Em Em Em | F F F F
Am Am Am Am | Em Em Em Em | F F F F | G G G G | C C C C | Dm Dm Dm Dm | Em Em Em Em | Am Am Am Am
C C C C | G G G G | Em Em Em Em | Am Am Am Am | C C C C | G G G G | F F F F | C C C C
Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G
Am Am Am E  | F F F F | C C C C | G G Esus E | Am Am Am E  | F F F F | C C C C | G G Esus E
C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C
Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C | Dm Dm Dm Dm | G G G G | Bdim Bdim Bdim Bdim | C C C C
Am Am Am Am | F F F F | Em Em Em Em | G G G G | Am Am Am Am | F F F F | C C C C | E E E E
F F F F | G G G G | Em Em Em Em | Am Am Am Am | F F F F | G G G G | C C C C | G G G G
Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am | Dm Dm Dm Dm | G G G G | Em Em Em Em | F F F F
Am Am Am Am | Em Em Em Em | F F F F | G G G G | C C C C | Dm Dm Dm Dm | Em Em Em Em | Am Am Am Am
C C C C | G G G G | Em Em Em Em | Am Am Am Am | C C C C | G G G G | F F F F | C C C C
Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G
Am Am Am E  | F F F F | C C C C | G G Esus E | Am Am Am E  | F F F F | C C C C | G G Esus E
C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C
Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C | Dm Dm Dm Dm | G G G G | Bdim Bdim Bdim Bdim | C C C C
Am Am Am Am | F F F F | Em Em Em Em | G G G G | Am Am Am Am | F F F F | C C C C | E E E E
F F F F | G G G G | Em Em Em Em | Am Am Am Am | F F F F | G G G G | C C C C | G G G G
Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am | Dm Dm Dm Dm | G G G G | Em Em Em Em | F F F F
Am Am Am Am | Em Em Em Em | F F F F | G G G G | C C C C | Dm Dm Dm Dm | Em Em Em Em | Am Am Am Am
C C C C | G G G G | Em Em Em Em | Am Am Am Am | C C C C | G G G G | F F F F | C C C C
Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G
Am Am Am E  | F F F F | C C C C | G G Esus E | Am Am Am E  | F F F F | C C C C | G G Esus E
C C C C | G G G G | Am Am Am Am | F F F F | C C C C | G G G G | Am Am Am Am | F F F F
C C C C | Em Em Em Em | F F F F | G G G G | Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C
Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C | Dm Dm Dm Dm | G G G G | Bdim Bdim Bdim Bdim | C C C C
Am Am Am Am | F F F F | Em Em Em Em | G G G G | Am Am Am Am | F F F F | C C C C | E E E E
F F F F | G G G G | Em Em Em Em | Am Am Am Am | F F F F | G G G G | C C C C | G G G G
Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am | Dm Dm Dm Dm | G G G G | Em Em Em Em | F F F F
Am Am Am Am | Em Em Em Em | F F F F | G G G G | C C C C | Dm Dm Dm Dm | Em Em Em Em | Am Am Am Am
